IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.11.203.121,443,443,true,SIN,Asia Pacific,Singapore,31,1.96
160.79.105.234,443,443,true,SIN,Asia Pacific,Singapore,1,1.96
188.164.158.232,443,443,true,SIN,Asia Pacific,Singapore,3,1.96
14.102.229.16,443,443,true,SIN,Asia Pacific,Singapore,23,1.96
63.141.128.193,443,443,true,SIN,Asia Pacific,Singapore,2,1.96
206.238.236.62,443,443,true,SIN,Asia Pacific,Singapore,1,1.96
154.197.121.119,443,443,true,SIN,Asia Pacific,Singapore,1,1.96
154.219.5.52,443,443,true,SIN,Asia Pacific,Singapore,4,1.96
154.197.121.110,443,443,true,SIN,Asia Pacific,Singapore,1,1.96
14.102.228.101,443,443,true,SIN,Asia Pacific,Singapore,7,1.96
160.79.104.44,443,443,true,SIN,Asia Pacific,Singapore,1,1.96
160.79.105.118,443,443,true,SIN,Asia Pacific,Singapore,10,1.96
167.68.11.145,443,443,true,SIN,Asia Pacific,Singapore,18,1.95
14.102.229.36,443,443,true,SIN,Asia Pacific,Singapore,21,1.95
167.68.11.22,443,443,true,SIN,Asia Pacific,Singapore,12,1.95
77.75.199.22,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
188.164.159.184,443,443,true,SIN,Asia Pacific,Singapore,12,1.95
34.65.159.16,443,443,true,FRA,Europe,Frankfurt,162,1.95
45.67.215.199,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
45.67.215.111,443,443,true,SIN,Asia Pacific,Singapore,0,1.95
154.197.75.145,443,443,true,SIN,Asia Pacific,Singapore,4,1.95
217.163.76.213,443,443,true,SIN,Asia Pacific,Singapore,3,1.95
167.68.5.180,443,443,true,SIN,Asia Pacific,Singapore,3,1.95
73.97.239.167,443,443,true,SEA,North America,Seattle,191,1.95
62.72.166.177,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
104.129.164.154,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
104.129.166.141,443,443,true,SIN,Asia Pacific,Singapore,5,1.95
154.194.12.212,443,443,true,SIN,Asia Pacific,Singapore,4,1.95
69.84.182.88,443,443,true,SIN,Asia Pacific,Singapore,2,1.95
149.104.134.39,443,0,true,LAX,North America,Los Angeles,196,1.95
212.183.88.47,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
14.102.228.34,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
154.197.80.83,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
192.0.54.161,443,443,true,SIN,Asia Pacific,Singapore,1,1.95
154.197.80.129,443,443,true,SIN,Asia Pacific,Singapore,0,1.94
192.0.63.98,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
185.133.35.61,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
154.197.75.101,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
104.129.166.48,443,443,true,SIN,Asia Pacific,Singapore,25,1.94
184.95.40.67,443,443,true,PHX,North America,Phoenix,178,1.94
5.182.34.85,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
141.11.202.89,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
14.102.229.10,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
160.79.104.1,443,443,true,SIN,Asia Pacific,Singapore,2,1.94
217.163.76.201,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
79.99.30.200,443,443,true,SIN,Asia Pacific,Singapore,75,1.94
2.189.59.5,443,443,true,FRA,Europe,Frankfurt,243,1.94
154.219.5.91,443,443,true,SIN,Asia Pacific,Singapore,7,1.94
34.65.142.228,443,443,true,FRA,Europe,Frankfurt,174,1.94
206.238.236.148,443,443,true,SIN,Asia Pacific,Singapore,6,1.94
146.190.178.180,443,443,true,FRA,Europe,Frankfurt,160,1.94
206.238.237.112,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
154.206.12.33,443,443,true,SIN,Asia Pacific,Singapore,4,1.94
45.67.215.34,443,443,true,SIN,Asia Pacific,Singapore,1,1.94
212.183.88.247,443,443,true,SIN,Asia Pacific,Singapore,14,1.93
154.206.12.25,443,443,true,SIN,Asia Pacific,Singapore,21,1.93
104.129.166.185,443,443,true,SIN,Asia Pacific,Singapore,32,1.93
8.219.0.162,443,443,true,SIN,Asia Pacific,Singapore,3,1.93
160.79.105.32,443,443,true,SIN,Asia Pacific,Singapore,5,1.93
89.116.46.124,443,443,true,SIN,Asia Pacific,Singapore,1,1.93
154.194.12.209,443,443,true,SIN,Asia Pacific,Singapore,24,1.93
77.75.199.17,443,443,true,SIN,Asia Pacific,Singapore,0,1.93
212.183.88.253,443,443,true,SIN,Asia Pacific,Singapore,1,1.93
104.129.167.203,443,443,true,SIN,Asia Pacific,Singapore,5,1.93
206.238.236.189,443,443,true,SIN,Asia Pacific,Singapore,1,1.93
188.164.159.144,443,443,true,SIN,Asia Pacific,Singapore,12,1.93
34.65.127.249,443,443,true,FRA,Europe,Frankfurt,186,1.93
45.135.235.190,443,443,true,SIN,Asia Pacific,Singapore,2,1.93
14.102.229.10,443,443,true,SIN,Asia Pacific,Singapore,0,1.93
34.159.30.32,443,443,true,CDG,Europe,Paris,168,1.93
154.197.88.238,443,443,true,SIN,Asia Pacific,Singapore,2,1.93
89.116.161.185,443,443,true,SIN,Asia Pacific,Singapore,1,1.93
204.93.210.143,443,443,true,SIN,Asia Pacific,Singapore,2,1.93
188.164.158.244,443,443,true,SIN,Asia Pacific,Singapore,2,1.93
166.1.161.170,443,443,true,HAM,Europe,Hamburg,336,1.93
212.183.88.6,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
104.129.165.125,443,443,true,SIN,Asia Pacific,Singapore,2,1.92
216.24.57.214,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,176,1.92
77.75.199.129,443,443,true,SIN,Asia Pacific,Singapore,0,1.92
14.102.228.189,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
192.200.160.167,443,443,true,SIN,Asia Pacific,Singapore,0,1.92
212.183.88.18,443,443,true,SIN,Asia Pacific,Singapore,2,1.92
167.68.5.187,443,443,true,SIN,Asia Pacific,Singapore,22,1.92
14.102.228.113,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
104.129.166.215,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
45.205.0.252,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
212.183.88.60,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
154.194.12.226,443,443,true,SIN,Asia Pacific,Singapore,35,1.92
154.219.5.193,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
45.205.0.38,443,443,true,SIN,Asia Pacific,Singapore,2,1.92
45.67.215.90,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
194.87.122.116,443,443,true,HAM,Europe,Hamburg,334,1.92
14.102.228.53,443,443,true,SIN,Asia Pacific,Singapore,1,1.92
166.1.161.52,443,443,true,TXL,Europe,Berlin,323,1.92
188.164.159.80,443,443,true,SIN,Asia Pacific,Singapore,5,1.91
141.11.202.0,443,443,true,SIN,Asia Pacific,Singapore,1,1.91
192.200.160.163,443,443,true,SIN,Asia Pacific,Singapore,2,1.91
156.238.19.140,443,443,true,SIN,Asia Pacific,Singapore,26,1.91
198.62.62.28,443,443,true,SIN,Asia Pacific,Singapore,1,1.91
140.99.233.238,443,443,true,SIN,Asia Pacific,Singapore,6,1.91
8.222.214.13,443,443,true,HKG,Asia Pacific,Hong Kong,37,1.91
14.102.229.175,443,443,true,SIN,Asia Pacific,Singapore,2,1.91
104.129.166.34,443,443,true,SIN,Asia Pacific,Singapore,7,1.91
154.194.12.51,443,443,true,SIN,Asia Pacific,Singapore,44,1.91
204.93.210.56,443,443,true,SIN,Asia Pacific,Singapore,1,1.91
69.84.182.76,443,443,true,SIN,Asia Pacific,Singapore,1,1.91
